dsaid,accession,platform,deg_count,disease,diseaseid,tissue,data_source,library_strategy,organism,control_case_sample_count,definition
DSA00123,GSE67223,GPL6244,0,Ovarian Serous Cystadenoma,C0346170,Ovary,GEO,Microarray,Homo sapiens,3|8,"HPO:A cystic tumor of the ovary, containing thin, clear, yellow serous fluid and varying amounts of solid tissue."
DSA00124,GSE67223,GPL6244,0,Ovarian Serous Cystadenoma,C0346170,Ovary,GEO,Microarray,Homo sapiens,3|5,"HPO:A cystic tumor of the ovary, containing thin, clear, yellow serous fluid and varying amounts of solid tissue."
DSA00125,GSE135917,GPL6244,0,Obstructive Sleep Apnea,C4237227,Subcutaneous fat,GEO,Microarray,Homo sapiens,8|10,"DO:A sleep apnea that is characterized by repeated collapse and obstruction of the upper airway during sleep, which results in reduced airflow (hypopnea) or complete airflow cessation (apnea), oxygen desaturation, and arousals from sleep."
DSA00126,GSE131738,GPL570,87,Sezary Syndrome,C0036920,Blood,GEO,Microarray,Homo sapiens,3|3,"MONDO:Sezary syndrome (SS) is an aggressive form of cutaneous T-cell lymphoma characterized by a triad of erythroderma, lymphadenopathy and circulating atypical lymphocytes (Sezary cells)."
DSA00127,GSE131738,GPL570,571,Sezary Syndrome,C0036920,Blood,GEO,Microarray,Homo sapiens,3|3,"MONDO:Sezary syndrome (SS) is an aggressive form of cutaneous T-cell lymphoma characterized by a triad of erythroderma, lymphadenopathy and circulating atypical lymphocytes (Sezary cells)."
DSA00128,GSE131738,GPL570,52,Sezary Syndrome,C0036920,Blood,GEO,Microarray,Homo sapiens,3|2,"MONDO:Sezary syndrome (SS) is an aggressive form of cutaneous T-cell lymphoma characterized by a triad of erythroderma, lymphadenopathy and circulating atypical lymphocytes (Sezary cells)."
DSA00129,GSE189670,GPL24676,515,Human Papilloma Virus Infection,C0343641,,GEO,scRNA-Seq,Homo sapiens,1|1,"DO:A viral infectious disease that results_in infection located_in skin, has_material_basis_in human papillomavirus (types 2 and 4). This infection is characterized by a raised wart with roughened surface, most common on hands, but can grow anywhere on the body."
DSA00130,GSE185383,GPL21103,1000,Ischemia Reperfusion Injury,C0035126,Kidney,GEO,RNA-Seq,Mus musculus,3|3,"EFO:Some of the known risk factors for cardiovascular disease (hypercholesterolaemia, hypertension, and diabetes) appear to exaggerate many of the microvascular alterations elicited by ischaemia and reperfusion (I/R). The inflammatory mediators released as a consequence of reperfusion also appear to activate endothelial cells in remote organs that are not exposed to the initial ischaemic insult. This distant response to I/R can result in leukocyte-dependent microvascular injury that is characteristic of the multiple organ dysfunction syndrome. Adaptational responses to I/R injury have been demonstrated that allow for protection of briefly ischaemic tissues against the harmful effects of subsequent, prolonged ischaemia, a phenomenon called ischaemic preconditioning."
DSA00131,GSE223120,GPL20301,1000,Colorectal Carcinoma,C0009402,Colorectum,GEO,RNA-Seq,Homo sapiens,20|20,DO:A colorectal cancer that arises from the colon or rectum and invades through the muscularis mucosa into the submucosa.
DSA00132,GSE222982,GPL23227,480,Metastatic Ovarian Cancer,C1140680,Ovary,GEO,RNA-Seq,Homo sapiens,5|5,DO:A female reproductive organ cancer that is located_in the ovary.
DSA00133,GSE222957,GPL23479,1000,Ischemia Reperfusion Injury,C0035126,Lung,GEO,RNA-Seq,Mus musculus,3|4,"EFO:Some of the known risk factors for cardiovascular disease (hypercholesterolaemia, hypertension, and diabetes) appear to exaggerate many of the microvascular alterations elicited by ischaemia and reperfusion (I/R). The inflammatory mediators released as a consequence of reperfusion also appear to activate endothelial cells in remote organs that are not exposed to the initial ischaemic insult. This distant response to I/R can result in leukocyte-dependent microvascular injury that is characteristic of the multiple organ dysfunction syndrome. Adaptational responses to I/R injury have been demonstrated that allow for protection of briefly ischaemic tissues against the harmful effects of subsequent, prolonged ischaemia, a phenomenon called ischaemic preconditioning."
DSA00134,GSE222935,GPL13112,1000,Non-Alcoholic Fatty Liver Disease,C0400966,Liver,GEO,RNA-Seq,Mus musculus,3|3,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA00135,GSE218492,GPL24676,1000,Systemic Lupus Erythematosus,C0024141,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A lupus erythematosus that is an inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart."
DSA00136,GSE203307,GPL17021,1000,Melanoma,C0025202,Ear,GEO,RNA-Seq,Mus musculus,3|4,"DO:A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from melanocytes which are found in skin, the bowel and the eye."
DSA00137,GSE201330,GPL24247,118,Bile Duct Disease,C0004943,Liver,GEO,RNA-Seq,Mus musculus,4|4,"DO:A vasculitis that is characterized by an autoimmune mediated inflammation of the blood vessels throughout the body leading to ulcerations on the mouth and sometimes the genitals, notorious for causing hypopyon uveitis."
DSA00138,GSE194032,GPL23038,974,Breast Cancer,C0678222,Bone marrow,GEO,Microarray,Mus musculus,5|5,DO:A breast cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00139,GSE194032,GPL23038,1,Breast Cancer,C0678222,Bone marrow,GEO,Microarray,Mus musculus,4|4,DO:A breast cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00140,GSE223208,GPL21163,1000,Myocardial Infarction,C0027051,Heart,GEO,Microarray,Mus musculus,3|3,DO:A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.
DSA00141,GSE223208,GPL21163,97,Myocardial Infarction,C0027051,Heart,GEO,Microarray,Mus musculus,3|3,DO:A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.
DSA00142,GSE221480,GPL24247,1000,Spinal And Bulbar Muscular Atrophy,C1839259,Quadriceps,GEO,RNA-Seq,Mus musculus,4|4,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA00143,GSE221480,GPL24247,1000,Spinal And Bulbar Muscular Atrophy,C1839259,Quadriceps,GEO,RNA-Seq,Mus musculus,3|4,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA00144,GSE220939,GPL11154,1000,Type 2 Diabetes,C0011860,Kidney cortex,GEO,scRNA-Seq,Homo sapiens,6|6,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00145,GSE220080,GPL11202,1000,Spinal And Bulbar Muscular Atrophy,C1839259,Quadriceps,GEO,Microarray,Mus musculus,4|3,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA00146,GSE219210,GPL24676,1000,Tonsillar Cancer,C0558355,Tonsil,GEO,scRNA-Seq,Homo sapiens,1|5,MONDO:A carcinoma that involves the tonsil.
DSA00147,GSE211398,GPL18573,1000,Pancreatic Adenocarcinoma,C0281361,Pancreas,GEO,RNA-Seq,Homo sapiens,5|3,DO:A pancreatic carcinoma that derives_from epithelial cells of glandular origin.
DSA00148,GSE211398,GPL18573,1000,Pancreatic Adenocarcinoma,C0281361,Pancreas,GEO,RNA-Seq,Homo sapiens,11|9,DO:A pancreatic carcinoma that derives_from epithelial cells of glandular origin.
DSA00149,GSE138206,GPL570,1000,Oral Squamous Cell Carcinoma,C0585362,Tongue,GEO,Microarray,Homo sapiens,6|6,"EFO:A squamous cell carcinoma arising from the oral cavity. It affects predominantly adults in their fifth and sixth decades of life and is associated with alcohol and tobacco use. Human papillomavirus is present in approximately half of the cases. It is characterized by a tendency to metastasize early to the lymph nodes. When the tumor is small, patients are often asymptomatic. Physical examination may reveal erythematous or white lesions or plaques. The majority of patients present with signs and symptoms of locally advanced disease including mucosal ulceration, pain, difficulty with speaking, chewing, and swallowing, bleeding, weight loss, and neck swelling. Patients may also present with swollen neck lymph nodes without any symptoms from the oropharyngeal tumor. The most significant prognostic factors are the size of the tumor and the lymph nodes status."
DSA00150,GSE197120,GPL24676,164,Xfe Progeroid Syndrome,C1970416,,GEO,RNA-Seq,Homo sapiens,2|2,"DO:A progeroid syndrome that is characterized by aged bird-like facies, lack of subcutaneous fat, dwarfism, cachexia and microcephaly and that has_material_basis_in homozygous mutation in the ERCC4 gene on chromosome 16p13."
DSA00151,GSE168496,GPL18573,26,Parkinson's Disease,C0030567,Substantia nigra,GEO,RNA-Seq,Homo sapiens,8|8,DO:An early-onset Parkinson's diseas that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.
DSA00152,GSE222807,GPL13112,1000,Fatty Liver Disease,C0400966,Liver,GEO,RNA-Seq,Mus musculus,3|3,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA00153,GSE138206,GPL570,775,Oral Squamous Cell Carcinoma,C0585362,Tongue,GEO,Microarray,Homo sapiens,6|6,"EFO:A squamous cell carcinoma arising from the oral cavity. It affects predominantly adults in their fifth and sixth decades of life and is associated with alcohol and tobacco use. Human papillomavirus is present in approximately half of the cases. It is characterized by a tendency to metastasize early to the lymph nodes. When the tumor is small, patients are often asymptomatic. Physical examination may reveal erythematous or white lesions or plaques. The majority of patients present with signs and symptoms of locally advanced disease including mucosal ulceration, pain, difficulty with speaking, chewing, and swallowing, bleeding, weight loss, and neck swelling. Patients may also present with swollen neck lymph nodes without any symptoms from the oropharyngeal tumor. The most significant prognostic factors are the size of the tumor and the lymph nodes status."
DSA00154,GSE88839,GPL570,49,Hepatocellular Adenoma,C0206669,Liver,GEO,Microarray,Homo sapiens,3|35,"EFO:A benign epithelial neoplasm arising from the hepatocytes. Grossly, it appears as a soft, round mass which often contains areas of hemorrhage and necrosis. Morphologically, the neoplastic cells resemble normal hepatocytes and form plates separated by sinusoids. Most patients have a history of contraceptive or anabolic steroids use."
DSA00155,GSE198551,GPL24676,1000,Limb-Girdle Muscular Dystrophy Type 2A,C1869123,Muscle,GEO,RNA-Seq,Homo sapiens,3|3,DO:An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding the proteolytic enzyme calpain-3 (CAPN3) on chromosome 15q15.
DSA00156,GSE197016,GPL24676,7,Bladder Cancer,C0699885,Urothelium,GEO,RNA-Seq,Mus musculus,3|4,DO:A urinary bladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00157,GSE197016,GPL24676,706,Bladder Cancer,C0699885,Urothelium,GEO,RNA-Seq,Mus musculus,3|4,DO:A urinary bladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00158,GSE197016,GPL24676,1000,Bladder Cancer,C0699885,Urothelium,GEO,RNA-Seq,Mus musculus,3|3,DO:A urinary bladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00159,GSE197016,GPL24676,1000,Bladder Cancer,C0699885,Urothelium,GEO,RNA-Seq,Mus musculus,3|5,DO:A urinary bladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00160,GSE197016,GPL24676,1000,Bladder Cancer,C0699885,Urothelium,GEO,RNA-Seq,Mus musculus,3|7,DO:A urinary bladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00161,GSE197016,GPL24676,1000,Bladder Cancer,C0699885,Urothelium,GEO,RNA-Seq,Mus musculus,3|5,DO:A urinary bladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00162,GSE223060,GPL20301,1000,Multiple Myeloma,C0026764,Bone marrow,GEO,scRNA-Seq,Homo sapiens,7|18,DO:A myeloid neoplasm that is located_in the plasma cells in bone marrow.
DSA00163,GSE221005,GPL17021,1000,Non-Alcoholic Fatty Liver Disease,C0400966,Liver,GEO,RNA-Seq,Mus musculus,3|3,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA00164,GSE221005,GPL17021,1000,Non-Alcoholic Fatty Liver Disease,C0400966,Liver,GEO,RNA-Seq,Mus musculus,3|3,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA00165,GSE199792,GPL19057,1000,Retinopathy,C0035309,Retina,GEO,scRNA-Seq,Mus musculus,1|1,DO:An eye disease that is located_in the retina.
DSA00166,GSE186821,GPL24247,1000,Diabetes,C0011847,Skin,GEO,scRNA-Seq,Mus musculus,4|4,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00167,GSE220969,GPL24676,1000,Dengue Disease,C0011311,Blood,GEO,scRNA-Seq,Homo sapiens,4|8,"DO:A viral infectious disease that results in infection, has_material_basis_in Dengue virus"
DSA00168,GSE220969,GPL24676,1000,Dengue Disease,C0011311,Blood,GEO,scRNA-Seq,Homo sapiens,4|8,"DO:A viral infectious disease that results in infection, has_material_basis_in Dengue virus"
DSA00169,GSE185764,GPL17586,0,Psoriasis,C0033860,Skin,GEO,Microarray,Homo sapiens,4|7,DO:A skin disease that is characterized by patches of thick red skin and silvery scales.
DSA00170,GSE185764,GPL17586,0,Psoriasis,C0033860,Skin,GEO,Microarray,Homo sapiens,4|4,DO:A skin disease that is characterized by patches of thick red skin and silvery scales.
DSA00171,GSE185764,GPL17586,0,Atopic Dermatitis,C0011615,Skin,GEO,Microarray,Homo sapiens,4|4,DO:An allergic contact dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.
DSA00172,GSE143789,GPL16791,980,Thyroid Associated Opthalmopathies,C0339143,Adipose tissue,GEO,RNA-Seq,Homo sapiens,3|3,"MSH:An autoimmune disorder of the EYE, occurring in patients with Graves disease. Subtypes include congestive (inflammation of the orbital connective tissue), myopathic (swelling and dysfunction of the extraocular muscles), and mixed congestive-myopathic ophthalmopathy."
DSA00173,GSE220264,GPL16558,1000,Juvenile Idiopathic Arthritis,C3890205,Synovial fluid,GEO,RNA-Seq,Homo sapiens,3|4,DO:A rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located_in joint.
DSA00174,GSE220264,GPL16558,1000,Juvenile Idiopathic Arthritis,C3890205,Synovial fluid,GEO,RNA-Seq,Homo sapiens,4|4,DO:A rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located_in joint.
DSA00175,GSE211700,GPL20795,1000,Systemic Lupus Erythematosus,C0024141,,GEO,RNA-Seq,Homo sapiens,9|10,"DO:A lupus erythematosus that is an inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart."
DSA00176,GSE211700,GPL20795,1000,Systemic Lupus Erythematosus,C0024141,,GEO,RNA-Seq,Homo sapiens,9|10,"DO:A lupus erythematosus that is an inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart."
DSA00177,GSE184773,GPL21103,8,Obsessive-Compulsive Disorder,C0028768,Brain,GEO,RNA-Seq,Mus musculus,4|4,"DO:An anxiety disorder that involves unwanted and repeated thoughts, feelings, ideas, sensations (obsessions), or behaviors that make them feel driven to do something (compulsions)."
DSA00178,GSE184773,GPL21103,11,Obsessive-Compulsive Disorder,C0028768,Brain,GEO,RNA-Seq,Mus musculus,4|4,"DO:An anxiety disorder that involves unwanted and repeated thoughts, feelings, ideas, sensations (obsessions), or behaviors that make them feel driven to do something (compulsions)."
DSA00179,GSE184773,GPL21103,14,Obsessive-Compulsive Disorder,C0028768,Brain,GEO,RNA-Seq,Mus musculus,4|4,"DO:An anxiety disorder that involves unwanted and repeated thoughts, feelings, ideas, sensations (obsessions), or behaviors that make them feel driven to do something (compulsions)."
DSA00180,GSE207912,GPL18573,1000,Hepatoblastoma,C0206624,,GEO,RNA-Seq,Homo sapiens,2|2,DO:A liver carcinoma that has_material_basis_in undifferentiated hepatocytes and located_in the liver.
